,Player,Base Price,TYPE,COST IN ₹ (CR.),Cost IN $ (000),2021 Squad,Team,COST IN ₹ (CR.
973,Harsh Tyagi,20 Lakh,ALL-ROUNDER,,,,Unsold,
974,R. Vivek,20 Lakh,ALL-ROUNDER,,,,Unsold,
975,R.Sonu Yadav,20 Lakh,ALL-ROUNDER,,,,Unsold,
976,V. Athisayaraj,20 Lakh,BOWLER,,,,Unsold,
977,Ottneil Baartman,20 Lakh,BOWLER,,,,Unsold,
978,M.B. Darshan,20 Lakh,BOWLER,,,,Unsold,
979,V. Gowtham,20 Lakh,BOWLER,,,,Unsold,
980,Khwezi Gumede,20 Lakh,BOWLER,,,,Unsold,
981,Liam Guthrie,20 Lakh,BOWLER,,,,Unsold,
982,Liam Hatcher,20 Lakh,BOWLER,,,,Unsold,
983,Jay Bista,20 Lakh,ALL-ROUNDER,,,,Unsold,
984,Saurav Chuahan,20 Lakh,ALL-ROUNDER,,,,Unsold,
985,Tajinder Dhillon,20 Lakh,ALL-ROUNDER,,,,Unsold,
986,Dikshanshu Negi,20 Lakh,ALL-ROUNDER,,,,Unsold,
987,Abhishek Raut,20 Lakh,ALL-ROUNDER,,,,Unsold,
988,K.V. Sasikanth,20 Lakh,ALL-ROUNDER,,,,Unsold,
989,Bharat Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold,
990,Shivam Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold,
991,Amit Yadav,20 Lakh,ALL-ROUNDER,,,,Unsold,
992,Manoj Bhandage,20 Lakh,ALL-ROUNDER,,,,Unsold,
993,Arun Chaprana,20 Lakh,ALL-ROUNDER,,,,Unsold,
994,Ajay Dev Goud,20 Lakh,ALL-ROUNDER,,,,Unsold,
995,Divyang Hinganekar,20 Lakh,ALL-ROUNDER,,,,Unsold,
996,Azim Kazi,20 Lakh,ALL-ROUNDER,,,,Unsold,
997,Sujit Nayak,20 Lakh,ALL-ROUNDER,,,,Unsold,
998,Parth Sahani,20 Lakh,ALL-ROUNDER,,,,Unsold,
999,Ashutosh Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold,
1000,Vivrant Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold,
1001,Kumar Kartikeya Singh,20 Lakh,ALL-ROUNDER,,,,Unsold,
1002,Ravi Chauhan,20 Lakh,ALL-ROUNDER,,,,Unsold,
1003,Shafiqullah Ghafari,20 Lakh,ALL-ROUNDER,,,,Unsold,
1004,M. Mohammed,20 Lakh,ALL-ROUNDER,,,,Unsold,
1005,Pulkit Narang,20 Lakh,ALL-ROUNDER,,,,Unsold,
1006,Pradosh Paul,20 Lakh,ALL-ROUNDER,,,,Unsold,
1007,Pushpendra Singh Rathore,20 Lakh,ALL-ROUNDER,,,,Unsold,
1008,Jason Sangha,20 Lakh,ALL-ROUNDER,,,,Unsold,
1009,Purnank Tyagi,20 Lakh,ALL-ROUNDER,,,,Unsold,
1010,Samarth Vyas,20 Lakh,ALL-ROUNDER,,,,Unsold,
1011,Duan Jansen,20 Lakh,ALL-ROUNDER,,,,Unsold,
1012,Dev Lakra,20 Lakh,ALL-ROUNDER,,,,Unsold,
1013,Ajay Mandal,20 Lakh,ALL-ROUNDER,,,,Unsold,
1014,Lakhan Raja,20 Lakh,ALL-ROUNDER,,,,Unsold,
1015,Girinath Reddy,20 Lakh,ALL-ROUNDER,,,,Unsold,
1016,Siddhant Sharma,20 Lakh,ALL-ROUNDER,,,,Unsold,
1017,Matthew Short,20 Lakh,ALL-ROUNDER,,,,Unsold,
1018,Saurin Thakar,20 Lakh,ALL-ROUNDER,,,,Unsold,
1019,Nyeem Young,20 Lakh,ALL-ROUNDER,,,,Unsold,
1020,Yuvraj Chaudhary,20 Lakh,ALL-ROUNDER,,,,Unsold,
1021,Khizar Dafedar,20 Lakh,ALL-ROUNDER,,,,Unsold,
1022,Sahil Dhiwan,20 Lakh,ALL-ROUNDER,,,,Unsold,
1023,Arjit Gupta,20 Lakh,ALL-ROUNDER,,,,Unsold,
1024,Mickil Jaiswal,20 Lakh,ALL-ROUNDER,,,,Unsold,
1025,Ryan John,20 Lakh,ALL-ROUNDER,,,,Unsold,
1026,J. Kousik,20 Lakh,ALL-ROUNDER,,,,Unsold,
1027,Jitender Pal,20 Lakh,ALL-ROUNDER,,,,Unsold,
1028,Jonty Sidhu,20 Lakh,ALL-ROUNDER,,,,Unsold,
1029,Yashovardhan Singh,20 Lakh,ALL-ROUNDER,,,,Unsold,
1030,Beyers Swanepoel,20 Lakh,ALL-ROUNDER,,,,Unsold,
1031,Pranshu Vijayran,20 Lakh,ALL-ROUNDER,,,,Unsold,
1032,Ishan Afridi,20 Lakh,ALL-ROUNDER,,,,Unsold,
1033,Mohammed Afridi,20 Lakh,ALL-ROUNDER,,,,Unsold,
1034,Prerit Agrawal,20 Lakh,ALL-ROUNDER,,,,Unsold,
1035,Aidan Cahill,20 Lakh,ALL-ROUNDER,,,,Unsold,
1036,Mark Deyal,20 Lakh,ALL-ROUNDER,,,,Unsold,
1037,Nidhish Rajagopal,20 Lakh,ALL-ROUNDER,,,,Unsold,
1038,Bavanaka Sandeep,20 Lakh,ALL-ROUNDER,,,,Unsold,
1039,Safyaan Sharif,20 Lakh,ALL-ROUNDER,,,,Unsold,
1040,Henry Shipley,20 Lakh,ALL-ROUNDER,,,,Unsold,
1041,Maxwell Swaminathan,20 Lakh,ALL-ROUNDER,,,,Unsold,
1042,Johan Van Dyk,20 Lakh,ALL-ROUNDER,,,,Unsold,
1043,Dunith Wellalage,20 Lakh,ALL-ROUNDER,,,,Unsold,
1044,Agnivesh Ayachi,20 Lakh,ALL-ROUNDER,,,PBKS,Unsold,
1045,Rohan Rana,20 Lakh,ALL-ROUNDER,,,,Unsold,
1046,Nitish Reddy,20 Lakh,ALL-ROUNDER,,,,Unsold,
1047,Hardik Tamore,20 Lakh,WICKETKEEPER,,,,Unsold,
1048,Mihir Hirwani,20 Lakh,BOWLER,,,,Unsold,
1049,Sairaj Patil,20 Lakh,BATTER,,,,Unsold,
1050,Monu Singh,20 Lakh,BOWLER,,,,Unsold,
1051,Nivethan Radhakrishnan,20 Lakh,BOWLER,,,,Unsold,
1052,Lance Morris,20 Lakh,BOWLER,,,,Unsold,
1053,Aaron Hardie,20 Lakh,ALL-ROUNDER,,,,Unsold,
